Symbol,CAGR,Current Market Price,Intrinsic Value,Margin,Verdict
NAUKRI.NS,0.0,1300.9000244140625,246.89557035952691,-0.8102117259389467,❌ OVERVALUED
INFY.NS,0.03192146690306519,1670.800048828125,138.8522147549113,-0.9168947745409152,❌ OVERVALUED
INDIGO.NS,0.05,4704.5,1675.7408216697936,-0.6438004417749402,❌ OVERVALUED
JSWENERGY.NS,0.034848162040185926,477.6499938964844,148.57861988554995,-0.6889382983688477,❌ OVERVALUED
JSWSTEEL.NS,-0.486970037218487,1170.0,0.8904932881710759,-0.9992388946254948,❌ OVERVALUED
JINDALSTEL.NS,-0.12598943919791916,1063.5999755859375,35.408417648816965,-0.966708895767593,❌ OVERVALUED
JIOFIN.NS,0.05,252.89999389648438,103.86184183067499,-0.589316550663156,❌ OVERVALUED
KOTAKBANK.NS,0.22756041845254082,422.79998779296875,1073.2646651116072,1.5384690068561442,✅ UNDERVALUED
LTIM.NS,0.04897334562975586,5893.5,2284.698268874017,-0.6123359177273239,❌ OVERVALUED
LT.NS,0.21764029998164158,3743.800048828125,6375.908248090339,0.7030578997097108,✅ UNDERVALUED
LICI.NS,0.6537097849965035,802.4500122070312,29825.698940992283,36.16829520503177,✅ UNDERVALUED
LODHA.NS,0.4814438525172935,900.2999877929688,9573.64709837722,9.633841195362493,✅ UNDERVALUED
MARUTI.NS,0.50335940468863,15469.0,226915.46350710024,13.669045413866458,✅ UNDERVALUED
MAXHEALTH.NS,0.15249437593325443,991.4000244140625,761.4711620383571,-0.23192339793576067,❌ OVERVALUED
MAZDOCK.NS,0.6116595712160193,2301.800048828125,37073.10653320166,15.106136826296463,✅ UNDERVALUED
NTPC.NS,0.13378382644734366,336.70001220703125,299.06599769484933,-0.11177313082198936,❌ OVERVALUED
NESTLEIND.NS,0.23986898703735626,1293.800048828125,2899.79957389888,1.2413042699491381,✅ UNDERVALUED
ONGC.NS,-0.03626251900254207,245.47000122070312,65.1953897075085,-0.7344058769572782,❌ OVERVALUED
PIDILITIND.NS,0.2211132105085496,1447.9000244140625,2544.818337456717,0.757592578594338,✅ UNDERVALUED
PFC.NS,0.18934746936760094,358.6499938964844,593.3843130169876,0.654494139454115,✅ UNDERVALUED
POWERGRID.NS,-0.023460265234904076,254.14999389648438,69.66672515598229,-0.7258834277825809,❌ OVERVALUED
PNB.NS,1.2706618337853524,120.1500015258789,119373.50618044782,992.5372839320036,✅ UNDERVALUED
RECLTD.NS,0.17815365386461868,361.3500061035156,544.2355255501508,0.5061173830290295,✅ UNDERVALUED
RELIANCE.NS,0.041940770843876596,1386.0999755859375,449.31950382278956,-0.6758390363344091,❌ OVERVALUED
SBILIFE.NS,0.16888958813872001,2002.5999755859375,2006.4488109700505,0.0019219192205308655,✅ UNDERVALUED
MOTHERSON.NS,0.5800398903337529,108.4000015258789,3096.8037440550297,27.568299819771806,✅ UNDERVALUED
SHREECEM.NS,-0.1329950997454119,27000.0,1244.8523973941508,-0.9538943556520685,❌ OVERVALUED
SHRIRAMFIN.NS,0.3408075977561571,1003.5499877929688,2748.4211178173164,1.7386987706130217,✅ UNDERVALUED
SIEMENS.NS,0.36495313474602464,2900.39990234375,18404.911927611225,5.345646306476088,✅ UNDERVALUED
SOLARINDS.NS,0.3708759619966173,12658.0,54359.211388321084,3.294454999867363,✅ UNDERVALUED
SBIN.NS,0.27717005966808306,1029.5,2545.8372529046846,1.4728870839287853,✅ UNDERVALUED
SUNPHARMA.NS,0.3804196049868074,1631.9000244140625,10953.497640887881,5.712113166871702,✅ UNDERVALUED
TVSMOTOR.NS,0.4155912417479586,3549.800048828125,18006.732393963754,4.072604694990697,✅ UNDERVALUED
TCS.NS,0.08981386079962794,3162.5,2137.4359210957186,-0.32413093404087945,❌ OVERVALUED
TATACONSUM.NS,0.07295058169711877,1153.5,507.22699814957906,-0.5602713496752674,❌ OVERVALUED
TMPV.NS,0.05,344.45001220703125,369.9793882221593,0.0741163452181377,✅ UNDERVALUED
TATAPOWER.NS,0.26265214707045237,345.25,885.8344078091782,1.5657767061815444,✅ UNDERVALUED
TATASTEEL.NS,0.0,187.61000061035156,25.061853341762134,-0.86641515238938,❌ OVERVALUED
TECHM.NS,-0.14289357349696996,1701.0999755859375,123.2555051252582,-0.9275436441748208,❌ OVERVALUED
TITAN.NS,0.13148010444741964,4021.800048828125,2805.4007367912677,-0.3024514638392559,❌ OVERVALUED
TORNTPHARM.NS,0.3362745561033469,3932.199951171875,13803.86218814151,2.51046802287551,✅ UNDERVALUED
TRENT.NS,1.6502449514747077,3755.89990234375,15227187.810449531,4053.2049059793867,✅ UNDERVALUED
ULTRACEMCO.NS,-0.03620576375161666,12369.0,1592.1100374026232,-0.871282234828796,❌ OVERVALUED
UNITDSPR.NS,0.23477638780960075,1333.0,2606.1466752975994,0.9550987811684917,✅ UNDERVALUED
VBL.NS,0.5046138701675311,474.1000061035156,6395.215788582838,12.489170441365694,✅ UNDERVALUED
VEDL.NS,-0.1525471191961134,684.1500244140625,77.55585410037527,-0.8866391122812607,❌ OVERVALUED
WIPRO.NS,0.03854485013739506,238.39999389648438,137.4460975426466,-0.42346434118481113,❌ OVERVALUED
ZYDUSLIFE.NS,0.06295881194525643,882.0,408.137018560694,-0.5372596161443379,❌ OVERVALUED
